name,path,sha256,size,words,modified,description
code-to-design,/Users/mavensix/.claude/plugins/cache/paper/paper-desktop/0.1.0/skills/code-to-design/SKILL.md,c260c1078f1d,587,91,2026-05-08T16:12:53.887224,"Generate a Paper design from the project's codebase — using its tokens, styles, and components as context."
design-to-code,/Users/mavensix/.claude/plugins/cache/paper/paper-desktop/0.1.0/skills/design-to-code/SKILL.md,66d48849fb80,661,94,2026-05-08T16:12:53.887579,Turn a Paper design into production code using the project's existing conventions.
responsive-design,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/responsive-design/SKILL.md,5a030748213f,1594,230,2026-03-23T13:23:34.226804,Design adaptive layouts and interactions that work across all screen sizes and input methods.
dark-mode-design,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/dark-mode-design/SKILL.md,6ff684547a98,1590,236,2026-03-23T13:23:34.227316,"Design effective dark mode interfaces with proper color adaptation, contrast, and elevation."
spacing-system,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/spacing-system/SKILL.md,5fd2c466daa4,1329,211,2026-03-23T13:23:34.227845,Create a consistent spacing system based on a base unit with contextual application rules.
data-visualization,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/data-visualization/SKILL.md,89bbc75b4289,1906,279,2026-03-23T13:23:34.228215,"Design clear, accessible data visualizations with appropriate chart selection and styling."
color-system,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/color-system/SKILL.md,41750d8d8119,1480,219,2026-03-23T13:23:34.228643,"Build a comprehensive color system with palette generation, semantic mapping, and accessibility compliance."
typography-scale,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/typography-scale/SKILL.md,c63a3fc73819,1374,226,2026-03-23T13:23:34.229009,"Create a modular typography scale with size, weight, and line-height relationships."
visual-hierarchy,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/visual-hierarchy/SKILL.md,cfeb299d5b72,1740,276,2026-03-23T13:23:34.229356,"Establish clear visual hierarchy through size, weight, color, spacing, and positioning."
illustration-style,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/illustration-style/SKILL.md,59cbd4d77aa5,1773,258,2026-03-23T13:23:34.229750,"Define an illustration style guide with visual language, color usage, and application rules."
layout-grid,/Users/mavensix/.claude/plugins/cache/designer-skills/ui-design/1.0.0/skills/layout-grid/SKILL.md,f8d58fd55a08,1477,220,2026-03-23T13:23:34.230101,"Define responsive layout grid systems with columns, gutters, margins, and breakpoint behavior."
version-control-strategy,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/version-control-strategy/SKILL.md,55f0cb1ae0a5,1723,245,2026-03-23T13:22:08.457163,"Define version control strategies for design files, components, and libraries."
design-qa-checklist,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/design-qa-checklist/SKILL.md,8560fd1f0af9,2049,319,2026-03-23T13:22:08.457562,Create QA checklists for verifying design implementation accuracy.
team-workflow,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/team-workflow/SKILL.md,d845d0bc71a8,2105,299,2026-03-23T13:22:08.457984,"Design team workflows covering task management, collaboration rituals, and tooling."
design-critique,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/design-critique/SKILL.md,ab233d76ac69,1937,289,2026-03-23T13:22:08.458396,Facilitate structured design critiques with clear feedback frameworks and actionable outcomes.
design-review-process,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/design-review-process/SKILL.md,079958f2a87c,1728,266,2026-03-23T13:22:08.458732,"Establish design review gates with criteria, checklists, and approval workflows."
design-sprint-plan,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/design-sprint-plan/SKILL.md,e991fdc7d6aa,1796,293,2026-03-23T13:22:08.459153,Plan and facilitate design sprints from challenge framing through prototype testing.
handoff-spec,/Users/mavensix/.claude/plugins/cache/designer-skills/design-ops/1.0.0/skills/handoff-spec/SKILL.md,be7d93b411ed,1812,256,2026-03-23T13:22:08.459531,"Create developer handoff specifications with measurements, behaviors, assets, and edge cases."
journey-map,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/journey-map/SKILL.md,b2cf334aa601,1988,290,2026-03-23T13:22:35.834755,"Create an end-to-end user journey map with stages, touchpoints, emotions, pain points, and opportunity areas. Use when mapping the full user experience for a product, feature, or service."
diary-study-plan,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/diary-study-plan/SKILL.md,c58924c2ce22,1231,169,2026-03-23T13:22:35.835268,"Design a diary study plan with prompts, duration, participant criteria, and analysis framework. Use when you need to understand user behavior over time in natural contexts."
affinity-diagram,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/affinity-diagram/SKILL.md,d03949d1381e,1332,181,2026-03-23T13:22:35.835774,"Organize qualitative research data into an affinity diagram with themes, clusters, and insight statements. Use when synthesizing large amounts of qualitative data from interviews, observations, or sur"
interview-script,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/interview-script/SKILL.md,0e8e87a3c1cf,1899,263,2026-03-23T13:22:35.836273,"Create a structured user interview script with warm-up, core exploration, and wrap-up sections. Use when preparing for user research interviews to ensure consistent, insightful conversations."
summarize-interview,/Users/mavensix/.claude/plugins/cache/designer-skills/design-research/1.0.0/skills/summarize-interview/SKILL.md,d306a7c3f549,1417,193,2026-03-23T13:22:35.836668,"Summarize a user interview transcript into structured insights with key themes, quotes, and action items. Use after conducting user interviews to extract and share findings efficiently."
